Product,Stage,Checklist
Digital Authorizations,Pre-Training,Account Setup (CSA)
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Set property to LIVE
,,Post-Onboarding Email (Training Vids)
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,5 Auth Forms (Adopted)
Digital Contracts,Pre-Training,Account Setup (CSA)
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Set property to LIVE
,,Post-Onboarding Email (Training Vids)
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,5 Contracts (Adopted)
Guest Messaging and AI,Pre-Training,CSA - Account Setup
,,CSA - Account Setup (Twilio)
,,CSA - Account Setup (Integration)
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Post-Onboarding Email (Training Vids and To-Dos)
,Client To Do List,Add Preset Messages
,Client To Do List,Update AI Knowledge Base (75%)
,,Follow up for the next 3 days 
,,Set property to LIVE
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,"Adopted if 3rd message sent out to a guest (excluding GJ, Broadcast, Auto-Response)"
Digital Tipping,Pre-Training,Account Setup (CSA)
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Order Collateral (confirm during the call)
,,Post-Onboarding Email (Training Vids and To-Dos)
,Client To Do List,Add Tippable Staff
,Client To Do List,Wait for Collateral Delivery (10-15 days)
,Client To Do List,Begin Placing Collaterals in the hotel 
,,Set property to LIVE
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,Adopted after the property receives 3 tips
Check-In,Pre-Training,CSA - Account Setup
,,CSA - Account Setup (Twilio)
,,CSA - Account Setup (Integration)
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Post-Onboarding Email (Training Vids and To-Dos)
,Client To Do List,Send Registration Cards (if applicable)
,Client To Do List,Add Preset Messages for GJ
,,Set property to LIVE
,,Email the property and inform them that the product is now LIVE
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,Adopted on the day the 5th check-in is submitted by guest
Tablet Registration,Pre-Training,CSA - Account Setup
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Tablet Setup
,,Post-Onboarding Email (Training Vids and To-Dos)
,,Set property to LIVE
,,Email the property and inform them that the product is now LIVE
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,Adopted on the date the 5th registration card has been submitted from the tablet (not mobile/web)
Check-Out,Pre-Training,CSA - Account Setup (review links)
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Post-Onboarding Email (Training Vids and To-Dos)
,,Set property to LIVE
,,Email the property and inform them that the product is now LIVE
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,Adopted on the date the 5th checkout submitted by the guest
Upsells,Pre-Training,CSA - Account Setup (review links)
,,Intro Email
,,Call Scheduled
,,Call Confirmation 
,,Login Details Sent
,,GONG Deals Tasking (Notes and Status update)
,Training,Email Reminder (1 hr before the call)
,,Onboarding Call
,,Post-Onboarding Email (Training Vids and To-Dos)
,Client To Do List,"Configure upsell offerings: room upgrades, early checkins and checkouts"
,,Set property to LIVE
,,Email the property and inform them that the product is now LIVE
,,GONG Deals Tasking (Notes and Status update)
,Post-Training (LIVE),Follow up email after a week 
,,Adopted on the date the 5th checkout submitted by the guest
